max x,max y,max z,min x,min y,min z,mean x,mean y,mean z,std x,std y,std z,max diff x,max diff y,max diff z,max E,min E,mean E,std E,class,hand
0.09375,0.734375,1.046875,-1.140625,-1.515625,-0.46875,-0.5603515625,-0.23798828125,0.1013671875,0.2994600887757096,0.7187269741727201,0.3579857937892692,0.453125,0.375,0.6875,1.686776465258512,0.5806532555019389,1.034939360000164,0.1996645455463234,bendingDown,leftHand
0.171875,-0.0625,0.625,-1.140625,-1.53125,-0.734375,-0.37578125,-0.8314453125,-0.0099609375,0.2523158265675738,0.3231498360914632,0.28468210478304873,0.609375,0.5,0.5,1.5485313102259186,0.2799448885495143,1.0070753199385556,0.2576864424905341,bendingDown,leftHand
-0.046875,-0.328125,0.3125,-0.78125,-1.296875,-0.75,-0.37412109375,-0.7962890625,-0.073046875,0.18052615569362648,0.2280083076607587,0.2552788175995332,0.40625,0.203125,0.3125,1.3362801095765813,0.37856379498705367,0.9481398225754709,0.1714707019930017,bendingDown,leftHand
0.3125,-0.484375,0.640625,-0.703125,-1.4375,-0.421875,-0.35595703125,-0.9291015625,-0.031640625,0.15439814428579895,0.20734746713680002,0.1749075838357352,0.546875,0.25,0.625,1.53395806453436,0.5902445864851282,1.0253935499419409,0.1911760037493049,bendingDown,leftHand
0.046875,-0.046875,0.34375,-1.234375,-1.390625,-0.390625,-0.54365234375,-0.63701171875,-0.148828125,0.3462383886162072,0.3824808314648789,0.12986728133218622,0.4375,0.265625,0.328125,1.4325662615565118,0.5408146343711494,0.9884854374954264,0.16682693792394976,bendingDown,leftHand
0.15625,-0.078125,0.328125,-1.25,-1.5,-0.421875,-0.31015625,-0.84931640625,-0.00673828125,0.24815801370125246,0.2921401575330756,0.18228988550623534,0.546875,0.40625,0.359375,1.5290162278406334,0.2910615001593306,0.9802309500708295,0.18969643634933486,bendingDown,leftHand
0.171875,-0.578125,0.5,-0.734375,-1.609375,-0.375,-0.17548828125,-0.935546875,0.08173828125,0.16797791975299328,0.19389917099406476,0.17234535657611455,0.390625,0.546875,0.296875,1.77459007150243,0.6369942847074846,0.9850035581041567,0.19403077974710703,bendingDown,leftHand
0.1875,-0.390625,0.875,-1.375,-1.46875,-0.390625,-0.21904296875,-0.90390625,0.07119140625,0.2277427164568605,0.1774632901183302,0.226412482016666,0.984375,0.78125,0.359375,2.193963664808513,0.5408146343711494,0.9809398418591115,0.20468170491605273,bendingDown,leftHand
0.640625,0.75,0.875,-1.265625,-1.484375,-0.53125,-0.154296875,-0.763671875,0.03125,0.44489810590336215,0.4871353495805121,0.29599183846102006,0.65625,0.46875,0.609375,1.8610155577667802,0.2799448885495143,1.0193480131232604,0.29840161395104886,bendingDown,leftHand
0.6875,-0.625,0.328125,-0.390625,-1.046875,-0.484375,0.0115234375,-0.8591796875,-0.04853515625,0.330697962395369,0.09650987917412196,0.22667580036103335,0.15625,0.140625,0.15625,1.1727080372475496,0.7350395928961923,0.9498610135930081,0.08650648715432144,bendingDown,leftHand
0.125,-0.59375,0.703125,-0.78125,-1.421875,-0.1875,-0.198046875,-0.9546875,0.11650390625,0.1152942586047414,0.18198283588028702,0.12981875929053277,0.59375,0.3125,0.515625,1.4342694677953651,0.609975665498223,0.99609422686051,0.18737047335402646,bendingDown,leftHand
1.015625,-0.390625,0.328125,-0.390625,-1.109375,-0.1875,0.05869140625,-0.84140625,0.06318359375,0.43505658539149467,0.1625989962120997,0.15476244407568804,0.203125,0.109375,0.265625,1.1567777511799748,0.8303331409741515,0.9744422212830471,0.06368050965136213,bendingDown,leftHand
0.90625,-0.40625,0.734375,-0.921875,-1.421875,-0.34375,0.0259765625,-0.87158203125,0.03271484375,0.4100829383792313,0.2090348243528617,0.18147247037039516,0.84375,0.34375,0.421875,1.753484254634184,0.6049518963314356,0.9867979356215985,0.17632437788702707,bendingDown,leftHand
0.203125,-0.625,0.640625,-0.484375,-1.4375,-0.0625,-0.2130859375,-0.91904296875,0.17333984375,0.10587950311525444,0.14461253265332097,0.11200094687720512,0.25,0.453125,0.40625,1.6466407565859653,0.6362272834844479,0.9700502020745418,0.15372341829984984,bendingDown,leftHand
0.953125,-0.296875,0.234375,-0.21875,-1.140625,-0.34375,0.343359375,-0.78447265625,-0.1013671875,0.37787546505327596,0.21950045964187484,0.17007425293355843,0.171875,0.21875,0.125,1.2108114853787109,0.8586644790021304,0.9792322668876654,0.056690318943363766,bendingDown,leftHand
